<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RIZ8 [SPBFUT],5,20180823,231000,105465.941098
RIZ8 [SPBFUT],5,20180823,231500,105458.463303
RIZ8 [SPBFUT],5,20180823,232000,105450.886518
RIZ8 [SPBFUT],5,20180823,232500,105443.448680
RIZ8 [SPBFUT],5,20180823,233000,105435.041971
RIZ8 [SPBFUT],5,20180823,233500,105425.594999
RIZ8 [SPBFUT],5,20180823,234000,105415.827449
RIZ8 [SPBFUT],5,20180823,234500,105406.611422
RIZ8 [SPBFUT],5,20180824,100000,105404.820028
RIZ8 [SPBFUT],5,20180824,100500,105404.465719
RIZ8 [SPBFUT],5,20180824,101000,105403.956109
RIZ8 [SPBFUT],5,20180824,101500,105403.529578
RIZ8 [SPBFUT],5,20180824,102000,105402.474008
RIZ8 [SPBFUT],5,20180824,102500,105402.612554
RIZ8 [SPBFUT],5,20180824,103000,105401.564233
RIZ8 [SPBFUT],5,20180824,103500,105400.682302
RIZ8 [SPBFUT],5,20180824,104000,105399.570189
RIZ8 [SPBFUT],5,20180824,104500,105399.099279
RIZ8 [SPBFUT],5,20180824,105000,105398.869245
RIZ8 [SPBFUT],5,20180824,105500,105397.850516
RIZ8 [SPBFUT],5,20180824,110000,105394.231144
RIZ8 [SPBFUT],5,20180824,110500,105385.976352
RIZ8 [SPBFUT],5,20180824,111000,105378.419227
RIZ8 [SPBFUT],5,20180824,111500,105372.265715
RIZ8 [SPBFUT],5,20180824,112000,105365.923694
RIZ8 [SPBFUT],5,20180824,112500,105359.157499
RIZ8 [SPBFUT],5,20180824,113000,105350.152301
RIZ8 [SPBFUT],5,20180824,113500,105341.139239
RIZ8 [SPBFUT],5,20180824,114000,105333.462249
RIZ8 [SPBFUT],5,20180824,114500,105325.845947
RIZ8 [SPBFUT],5,20180824,115000,105318.843212
RIZ8 [SPBFUT],5,20180824,115500,105313.872120
RIZ8 [SPBFUT],5,20180824,120000,105308.307913
RIZ8 [SPBFUT],5,20180824,120500,105302.392436
RIZ8 [SPBFUT],5,20180824,121000,105295.258899
RIZ8 [SPBFUT],5,20180824,121500,105288.260805
RIZ8 [SPBFUT],5,20180824,122000,105281.871391
RIZ8 [SPBFUT],5,20180824,122500,105275.295333
RIZ8 [SPBFUT],5,20180824,123000,105271.459006
RIZ8 [SPBFUT],5,20180824,123500,105265.913875
RIZ8 [SPBFUT],5,20180824,124000,105261.519299
RIZ8 [SPBFUT],5,20180824,124500,105256.922309
RIZ8 [SPBFUT],5,20180824,125000,105252.598812
RIZ8 [SPBFUT],5,20180824,125500,105247.360877
RIZ8 [SPBFUT],5,20180824,130000,105242.480554
RIZ8 [SPBFUT],5,20180824,130500,105239.061735
RIZ8 [SPBFUT],5,20180824,131000,105237.250971
RIZ8 [SPBFUT],5,20180824,131500,105235.217366
RIZ8 [SPBFUT],5,20180824,132000,105233.357940
RIZ8 [SPBFUT],5,20180824,132500,105230.959854
RIZ8 [SPBFUT],5,20180824,133000,105228.343570
RIZ8 [SPBFUT],5,20180824,133500,105225.906072
RIZ8 [SPBFUT],5,20180824,134000,105224.436459
RIZ8 [SPBFUT],5,20180824,134500,105224.638542
RIZ8 [SPBFUT],5,20180824,135000,105225.471439
RIZ8 [SPBFUT],5,20180824,135500,105225.823443
RIZ8 [SPBFUT],5,20180824,140500,105225.777408
RIZ8 [SPBFUT],5,20180824,141000,105227.075610
RIZ8 [SPBFUT],5,20180824,141500,105228.205447
RIZ8 [SPBFUT],5,20180824,142000,105228.535839
RIZ8 [SPBFUT],5,20180824,142500,105230.681801
RIZ8 [SPBFUT],5,20180824,143000,105233.601312
RIZ8 [SPBFUT],5,20180824,143500,105236.023436
RIZ8 [SPBFUT],5,20180824,144000,105238.742619
RIZ8 [SPBFUT],5,20180824,144500,105242.547025
RIZ8 [SPBFUT],5,20180824,145000,105245.214637
RIZ8 [SPBFUT],5,20180824,145500,105247.386854
RIZ8 [SPBFUT],5,20180824,150000,105249.462847
RIZ8 [SPBFUT],5,20180824,150500,105250.810967
RIZ8 [SPBFUT],5,20180824,151000,105253.097046
RIZ8 [SPBFUT],5,20180824,151500,105255.444105
RIZ8 [SPBFUT],5,20180824,152000,105257.851661
RIZ8 [SPBFUT],5,20180824,152500,105260.082083
RIZ8 [SPBFUT],5,20180824,153000,105263.243490
RIZ8 [SPBFUT],5,20180824,153500,105267.170418
RIZ8 [SPBFUT],5,20180824,154000,105270.987253
RIZ8 [SPBFUT],5,20180824,154500,105275.090121
RIZ8 [SPBFUT],5,20180824,155000,105275.366088
RIZ8 [SPBFUT],5,20180824,155500,105275.797977
RIZ8 [SPBFUT],5,20180824,160000,105277.096016
RIZ8 [SPBFUT],5,20180824,160500,105278.225692
RIZ8 [SPBFUT],5,20180824,161000,105279.899797
RIZ8 [SPBFUT],5,20180824,161500,105279.742487
RIZ8 [SPBFUT],5,20180824,162000,105281.404601
RIZ8 [SPBFUT],5,20180824,162500,105283.211680
RIZ8 [SPBFUT],5,20180824,163000,105286.190244
RIZ8 [SPBFUT],5,20180824,163500,105291.279649
RIZ8 [SPBFUT],5,20180824,164000,105295.933565
RIZ8 [SPBFUT],5,20180824,164500,105301.894564
RIZ8 [SPBFUT],5,20180824,165000,105307.255081
RIZ8 [SPBFUT],5,20180824,165500,105311.703658
RIZ8 [SPBFUT],5,20180824,170000,105318.962917
RIZ8 [SPBFUT],5,20180824,170500,105325.690483
RIZ8 [SPBFUT],5,20180824,171000,105332.522970
RIZ8 [SPBFUT],5,20180824,171500,105338.510930
RIZ8 [SPBFUT],5,20180824,172000,105344.688709
RIZ8 [SPBFUT],5,20180824,172500,105349.236625
RIZ8 [SPBFUT],5,20180824,173000,105354.855308
RIZ8 [SPBFUT],5,20180824,173500,105358.769495
RIZ8 [SPBFUT],5,20180824,174000,105362.731791
RIZ8 [SPBFUT],5,20180824,174500,105367.848536
RIZ8 [SPBFUT],5,20180824,175000,105374.663963
RIZ8 [SPBFUT],5,20180824,175500,105382.216026
RIZ8 [SPBFUT],5,20180824,180000,105391.052263
RIZ8 [SPBFUT],5,20180824,180500,105399.028135
RIZ8 [SPBFUT],5,20180824,181000,105408.601035
RIZ8 [SPBFUT],5,20180824,181500,105418.493517
RIZ8 [SPBFUT],5,20180824,182000,105428.703054
RIZ8 [SPBFUT],5,20180824,182500,105437.883267
RIZ8 [SPBFUT],5,20180824,183000,105446.595652
RIZ8 [SPBFUT],5,20180824,183500,105455.318216
RIZ8 [SPBFUT],5,20180824,184000,105465.236649
RIZ8 [SPBFUT],5,20180824,190000,105475.076676
RIZ8 [SPBFUT],5,20180824,190500,105484.364607
RIZ8 [SPBFUT],5,20180824,191000,105493.500065
RIZ8 [SPBFUT],5,20180824,191500,105503.670025
RIZ8 [SPBFUT],5,20180824,192000,105514.550104
RIZ8 [SPBFUT],5,20180824,192500,105526.450893
RIZ8 [SPBFUT],5,20180824,193000,105538.810965
